Operation;Condition Group;Scope;Exception Name;Condition;Prefix;Error Number;Description;Description;Source;Source;Source;Source;Source
generate;;CParserExceptions;ExMacroTooLarge;;%1%(%2%);1830;The macro exceeds the maximum allowed size of %3% kb. This error can be caused by a too large text line or by a missing macro end marker. The text compiler is not designed to handle very large text lines efficiently.;;addPath( getCurrentFileName());getCurrentLineNumber();(m_generator.getMaxMacroTextSizeBytes() / 1024);;
generate;;CParserExceptions;ExPartBlocksCannotBeNested;;%1%(%2%);1840;Part blocks cannot be nested.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExMissingPartBegin;;%1%(%2%);1841;Missing begin part marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExMissingPartEnd;;%1%(%2%);1842;Missing part end marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExPartAlreadyDefined;;%1%(%2%);1843;Part already defined. Cannot add a second part with the same label.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExPartNotDefined;;%1%(%2%);1844;Part not defined. Cannot expand part.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExPossibleInfiniteLoop;;%1%(%2%);1845;Recursion exceeded the maximum of allowed levels while expanding part.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CTemplateProvidedTableLoaderExceptions;ExUnexpectedTableProperty;;%1%(%2%);1860;Unexpected table property found for template-provided table.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExMissingTableBegin;;%1%(%2%);1861;Missing begin table marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExMissingTableEnd;;%1%(%2%);1862;Missing table end marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CMacroProcessorExceptions;ExCannotChangeTableList;;%1%(%2%);1863;Changing the table list permanently is disabled. Only temporary tables can be added or removed.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CTemplateProvidedTableLoaderExceptions;ExTableLoadFileNameMustNotBeEmpty;;%1%(%2%);1864;Table filename must not be empty.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CParserExceptions;ExUnexpectedPartPadding;;%1%(%2%);1865;The part padding directives can only be used inside a part block.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CToSizeConversionExceptions;ExUnexpectedToSizeProperty;;%1%(%2%);1880;Unexpected property found for to size conversion.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
;;;;;;;;;;;;;
generate;;CCsvParser;ExBadDelimiter;;%1%(%2%);1001;Provided character cannot be used as delimiting character.; The line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;A;CCsvParser;ExRequireDelimitingChar;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1002;New line or delimiter at the end of item in quotes is expected.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();;
;A;CCsvParser;ExRequireDelimitingChar;;%1%(%2%);1002;New line or delimiter at the end of item in quotes is expected. CSV table source line %4% column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastLineWithFailure();
generate;B;CCsvParser;ExUnexpectedQuote;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1003;Unexpected quote.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();;
;B;CCsvParser;ExUnexpectedQuote;;%1%(%2%);1003;Unexpected quote. CSV table source line %4%  column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastLineWithFailure();
generate;;CCsvParser;ExStreamBad;;%1%(%2%);1004;An error occured reading table.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CSourceFileExceptions<CsvFileLoadedViaTemplateT>;ExCannotOpenFile;;;1010;Cannot open table file: %1%;;addPath(getTableLoadFileNameWithFailure());;;;
generate;;CSourceFileExceptions<CsvFileLoadedViaTemplateT>;ExCannotReadFile;;;1011;An error occured reading table file: %1%;;addPath(getTableLoadFileNameWithFailure());;;;
generate;C;CVerticalTableBuilderExceptions;ExUnderflow;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1020;Table row %4% contains less items than first row.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();
;C;CVerticalTableBuilderExceptions;ExUnderflow;;%1%(%2%);1020;Table row %4% contains less items than first row. CSV table source line %5% column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();m_generator.getLastLineWithFailure()
generate;D;CVerticalTableBuilderExceptions;ExOverflow;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1021;Table row %4% contains more items than first row.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();
;D;CVerticalTableBuilderExceptions;ExOverflow;;%1%(%2%);1021;Table row %4% contains more items than first row. CSV table source line %5% column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();m_generator.getLastLineWithFailure()
generate;;CCsvParser;ExBadCommentChars;;%1%(%2%);1030;The CSV comment char list contains characters that cannot be used for commenting lines, e.g. quote or the delimiter characters.; The line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CCsvParser;ExBadQuoteChars;;%1%(%2%);1031;The CSV quote char list contains characters that cannot be used for putting text items in quotes, e.g. comment or the delimiter characters.; The line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CMacroProcessorExceptions;ExTableLabelAlreadyDefined;;%1%(%2%);1053;Table label already defined. Cannot add a second table with the same label.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
;;;;;;;;;;;;;
generate;;CMacroExpanderExceptions;ExErrorTagExpanded<StringT>;;%1%(%2%);1900;Error tag triggered: %3%;;addPath( getCurrentFileName());getCurrentLineNumber();e.getMessage();;
