Tag Name;Tag Name Small;Tag Name Capital;Type;Subtype;Subtype;Parameter Count;Parameter Format;Parameter Check Function;Parameter;Syntax Example;Description;Tokenizer Preprocessor Action;Tokenizer Preprocessor Check;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable;Applyable
PART_PADDING;partPadding;PartPadding;processing directive;processor;;;;;;"[PART_BEGIN][""L1""]...[PART_PADDING]...[PART_END]";PART_PADDING is replaced by the padding text applied when expanding a PART or PART_LAZY tag.;;;;;;;;;;;;;;;;;;;;;;;
PART_REMOVE;partRemove;PartRemove;processing directive;processor;;1;Plain;;The label of the part to remove.;"[PART_REMOVE][""LengthyAdditionalTagsAndText""]";Removes a part identified by its label that has been defined previously. If the part does not exist or already has been removed nothing is done.;;;;;;;;;;;;;;;;;;;;;;;
SET_RECURSION_LEVEL_LIMIT;setRecursionLevelLimit;SetRecursionLevelLimit;processing directive;processor;;;;;;[SET_RECURSION_LEVEL_LIMIT.][TRIM];This directive can be used to limit the recursion level when using multistage macro expressions. This is useful when debugging. Insert zero or more delay dots to indicate the last level to process. The set recursion level limit directive can only be used at the beginning of a line and outside of a macro. This tag is always processed.;;;;;;;;;;;;;;;;;;;;;;;
SET_RECURSION_LEVEL_LIMIT_OFF;setRecursionLevelLimitOff;SetRecursionLevelLimitOff;processing directive;processor;;;;;;[SET_RECURSION_LEVEL_LIMIT_OFF][TRIM];This directive can be used to remove a recursion level limit. This tag is always processed. Delay dots have no effect.;;;;;;;;;;;;;;;;;;;;;;;
TABLE_BEGIN;tableBegin;TableBegin;processing directive;processor;;1;Combi1Plain2CStyleOptional1PlainOptional1CStyleOptional;;The label of the table to add. Optional: The delimiting characters. Characters used for commenting. Properties of the table. Characters for text item quote.;"[TABLE_BEGIN][""myTable"","";"",""#"",""pad-rows""]Numbers;1;2;5[TABLE_END]";"Can be used to define a table block that contains a comma-separated-values table using a single character as delimiter to separate the items of a table. Parameter 1 is label of the table. Optional parameter 2 defines the delimiter. The default delimiter is ';'. Optional parameter 3 define  a list of characters as string that mark commented lines in CSV-files when found at the beginning of a line. Per default no comment chars are used. Optional parameter 4 can be used to pass additional directions. Possible values are top-down, left-to-right, pad-rows, csv-ignore-quotes and permanent, separated by a semicolon. 'top-down' and 'left-to-right' limit the allowed reading direction of the table. The default is reading both directions. If 'permanent' is provided the table will be exported by the template file. The default behaviour is removing tables defined by a template file at the end of processing of the main  file. If 'pad-rows' is provided. Optional parameter 4 can be used to pass characters that are used for putting text items in quotes. The default is the double quote character.
the loader automatically fills missing row items at the end of a row with an empty string. In the default behaviour this causes an error otherwise. Table blocks cannot be nested. Table blocks can only contain text. This includes tags containing a delay dot. ";;;;;;;;;;;;;;;;;;;;;;;
TABLE_END;tableEnd;TableEnd;processing directive;processor;;;;;;"[TABLE_BEGIN][""myTable""]Numbers;1;2;5[TABLE_END]";Closes a table block.;;;;;;;;;;;;;;;;;;;;;;;
TABLE_LOAD;tableLoad;TableLoad;processing directive;processor;;2;Combi2Plain2CStyleOptional1PlainOptional1CStyleOptional;;The filename. The label of the table to add. Optional: The delimiting characters. Characters used for commenting. Properties of the table.  Characters for text item quote.;"[TABLE_LOAD][""dir/file.csv"",""myTable"","";"",""#"",""pad-rows""]";Loads a table from a csv file. Otherwise TABLE_LOAD behaves like a table block. The parameters 2-5 match exactly like the TABLE_BEGIN parameters 1-4. See TABLE_BEGIN for more information. If a relative path is provided it is relative to the template file containing the TABLE_LOAD tag. If the file is not found there the include directories are searched for a file with the relative path.;;;;;;;;;;;;;;;;;;;;;;;
TABLE_REMOVE;tableRemove;TableRemove;processing directive;processor;;1;Plain;;The label of the table to remove.;"[TABLE_REMOVE][""myTable""]";Removes a table identified by its label that has been defined previously. If the table does not exist or already has been removed nothing is done.;;;;;;;;;;;;;;;;;;;;;;;
ANY;any;Any;macro keyword;constraint;;;;;;"[ENTRY][""Description""][ANY]";The substitution succeeds in any case if the row or column is contained in the table.;;;;;;;;;;;;;;;;;;;;;;;
AS_VOLATILE;volatil;Volatil;macro keyword;directive for substitution;;;;;;"[ENTRY][""Description""][AS_VOLATILE]";It indicates that the row or column can be missing in the table. The entry heading is therefore not used for determining the reading direction for the macro and for determining which table to read.;;;;;;;;;;;;;;;;;;;;;;;
BEGIN;begin;Begin;macro keyword;block;;;;;;"foo([BEGIN]""[ENTRY][""Parameter Name""]""[OR]""default""[END]);";The BEGIN and END tags mark a macro block. A macro block is used conjunction with the OR keyword. Macro blocks can be nested.;;;;;;;;;;;;;;;;;;;;;;;
BLOCK_FORMAT;blockFormat;BlockFormat;macro keyword;conversion;;1;UInt;;The block width.;"[ENTRY][""Data""][BLOCK_FORMAT][20]";Formats the expanded item text into a text block of the given width by inserting new line characters.;;;;;;;;;;;;;;;;;;;;;;;
CALC;calc;Calc;macro keyword;conversion;;1;Plain;;The arithmetic expression.;"[ENTRY][""Number""][CALC][""a+1""]";Supports integer calculation supporting the operators +-/*%, parentheses () and the unary sign operators +-. The computation is performed using 64 Bit signed integer values. Supports the variable a. The variable a is replaced with the epression from the ENTRY, COUNT or INDEX tag. Overflow is not explicitly handled and must be avoided.;;;;;;;;;;;;;;;;;;;;;;;
CONTAINS;contains;Contains;macro keyword;constraint;;1;CStyle;;Text to match;"[ENTRY][""File""][CONTAINS]["".tpl.""]";The substitution succeeds if the entry contains the specified text.;;;FLUSH;FOR_ALL;IGNORE_CASE;;;;;;;;;;;;;;;;;;
COUNT;count;Count;macro keyword;substitution;;;;;;[COUNT];The tag is substituted with the count of successful substitutions of the current macro.;;;CONTAINS;EQUALS;MATCHES_REGEX;STARTS_WITH;ENDS_WITH;CALC;PAD_LEFT;PAD_RIGHT;REPLACE;REGEX_REPLACE;;;;;;;;;;;
END;end;End;macro keyword;block;;;;;;"foo([BEGIN]""[ENTRY][""Parameter Name""]""[OR]""default""[END]);";The tag ends a macro block.;;;;;;;;;;;;;;;;;;;;;;;
ENDS_WITH;endsWith;EndsWith;macro keyword;constraint;;1;CStyle;;Text to match;"[ENTRY][""File""][ENDS_WITH]["".exe""]";The substitution succeeds if the entry ends with the specified text.;;;FLUSH;FOR_ALL;IGNORE_CASE;;;;;;;;;;;;;;;;;;
ENTRY;entry;Entry;macro keyword;substitution;;1;CStyle;;Column or row name;"[ENTRY][""State 1""]";"Is substituted successfully with the text of current entry in the specified row or column, if the entry is not empty. Multiple columns or rows having the same name are substituted in the order they appear in the table. This default behavior can be overridden by applying constraints. The default constraint is [NOT][EQUALS][""""].";;;READ_LEFT_TO_RIGHT;READ_TOP_DOWN;AS_VOLATILE;ANY;CONTAINS;EQUALS;MATCHES_REGEX;STARTS_WITH;ENDS_WITH;BLOCK_FORMAT;CALC;HTML_ESCAPE;MERGE;PAD_LEFT;PAD_RIGHT;REPLACE;REGEX_REPLACE;TO_LOWER;TO_UPPER;TO_CSV;TO_CSTRING
EQUALS;matches;Matches;macro keyword;constraint;;1;CStyle;;Text to match;"[ENTRY][""Data""][EQUALS][""Machine""]";The substitution succeeds if the specified text matches.;;;FLUSH;FOR_ALL;IGNORE_CASE;;;;;;;;;;;;;;;;;;
ERROR;error_;Error_;macro keyword;substitution;;1;CStyle;;Error message;"[BEGIN][ENTRY][""Param""][OR][ERROR][""Missing Parameter.""][END]";The processing aborts with error when this tag is expanded.;;;;;;;;;;;;;;;;;;;;;;;
FIRST_TIME;firstTime;FirstTime;macro keyword;substitution;;;;;;"MyClass() [BEGIN][IF][FIRST_TIME]:[OR],[END][ENTRY][""Initializer""]";A macro block or alternative containing this tag can only be expanded successfully for the first time.;;;;;;;;;;;;;;;;;;;;;;;
FLUSH;flush;Flush;macro keyword;directive for constraint;;;;;;"[ENTRY][""Data""][FLUSH]";The substitution succeeds if one column or row of multiple columns or rows can be substituted successfully, causing output for all columns or rows.;;;;;;;;;;;;;;;;;;;;;;;
FOR_ALL;forAll;ForAll;macro keyword;directive for constraint;;;;;;"[ENTRY][""Data""][FOR_ALL]";The substitution succeeds if all entries of multiple columns or rows with same name can be substituted successfully.;;;;;;;;;;;;;;;;;;;;;;;
HTML_ESCAPE;htmlEscape;HtmlEscape;macro keyword;conversion;;;;;;"[ENTRY][""Data""][HTML_ESCAPE]";"Escapes the following list of characters: <&""'`(){}[]!@$%=+>";;;;;;;;;;;;;;;;;;;;;;;
IF;if_;If_;macro keyword;special;;;;;;"[IF][ENTRY][""State 1""][IF][NOT][ENTRY][""State 2""]";Used for checking if a substitution can be expanded successfully.;;;;;;;;;;;;;;;;;;;;;;;
IGNORE_CASE;ignoreCase;IgnoreCase;macro keyword;directive for constraint;directive for conversion;;;;;"[ENTRY][""File""][REPLACE]["".tpl."", "".gen.""][IGNORE_CASE]";Causes replace operations to be performed ignoring case.;;;;;;;;;;;;;;;;;;;;;;;
INDEX;index;Index;macro keyword;substitution;;;;;;[INDEX];The tag is substituted with the one based index of the current row or column being read.;;;CONTAINS;EQUALS;MATCHES_REGEX;STARTS_WITH;ENDS_WITH;CALC;PAD_LEFT;PAD_RIGHT;REPLACE;REGEX_REPLACE;;;;;;;;;;;
LAST_TIME;lastTime;LastTime;macro keyword;substitution;;;;;;[LAST_TIME];A macro block containing this keyword can only be expanded successfully for the last time.;;;;;;;;;;;;;;;;;;;;;;;
MACRO_BEGIN;macroBegin;MacroBegin;macro keyword;block;;;;;;"foo([BEGIN]""[ENTRY][""Parameter Name""]""[OR]""default""[END]);";The MACRO_BEGIN and MACRO_END tags are used to declare a macro that spans multiple lines or to declare a macro that is expanded inside a single line. ;;;;;;;;;;;;;;;;;;;;;;;
MACRO_END;macroEnd;MacroEnd;macro keyword;block;;;;;;"foo([BEGIN]""[ENTRY][""Parameter Name""]""[OR]""default""[END]);";The tag ends a macro.;;;;;;;;;;;;;;;;;;;;;;;
MATCHES_REGEX;regexMatches;RegexMatches;macro keyword;constraint;;1;Regex;;Regular expression to match;"[ENTRY][""File""][MATCHES_REGEX]['(.*)\.exe']";The substitution succeeds if the specified regular expression matches.;;;FLUSH;FOR_ALL;IGNORE_CASE;;;;;;;;;;;;;;;;;;
MERGE;merge;Merge;macro keyword;conversion;;1;CStyle;;Separator text;"[ENTRY][""Data""][MERGE]["", ""]";The separator text is inserted between the entries of multiple columns or rows with the same name.;;;;;;;;;;;;;;;;;;;;;;;
NOT;not_;Not_;macro keyword;special;;;;;;"[ENTRY][""Machine""][NOT][EQUALS][""State machine""]";This tag negates the meaning of the next modifier.;;;;;;;;;;;;;;;;;;;;;;;
OR;or_;Or_;macro keyword;block;;;;;;"[ENTRY][""State 1""][OR][ENTRY][""State 2""]";This tag splits a macro block into multiple alternatives. Only the first successfully expanded alternative is used.;;;;;;;;;;;;;;;;;;;;;;;
PAD_LEFT;padLeft;PadLeft;macro keyword;conversion;;2;Combi1CStyle1UIntRepeatUIntOptional;checkPadParameters;The padding characters and the count(s) of characters to pad;"[ENTRY][""Data""][PAD_LEFT]["" "", 40]";Pads the left side of the expanded item text according to given number of characters if needed. The character count can be provided more than once when padding multiple lines. The first provided number of characters is used for padding the first line, then next for the next line and so on. The last given number of characters is used for all following lines. If the character count starts with a plus sign the number of characters is prepended otherwise the line is padded until the number of given characters has been reached. If more than one character is provided, the rightmost character is used for padding. M26 Additional characters are included in the given padding width.  If the character count is zero nothing is added at all. The characters passed for padding must not contain characters with ASCII code less than 32, e.g. new line or tab.;;;;;;;;;;;;;;;;;;;;;;;
PAD_RIGHT;padRight;PadRight;macro keyword;conversion;;2;Combi1CStyle1UIntRepeatUIntOptional;checkPadParameters;The padding characters and the count(s) of characters to pad;"[ENTRY][""Data""][PAD_RIGHT]["" "", 40]";Pads the right side of the expanded item text according to given number of characters if needed. The character count can be provided more than once when padding multiple lines. The first provided number of characters is used for padding the first line, then next for the next line and so on. The last given number of characters is used for all following lines. If the character count starts with a plus sign the number of characters is appended otherwise the line is padded until the number of given characters has been reached. If more than one character is provided, the leftmost character is used for padding. All additional characters are always added rightmost. Additional characters are included in the given padding width. If the character count is zero nothing is added at all. The characters passed for padding must not contain characters with ASCII code less than 32, e.g. new line or tab.;;;;;;;;;;;;;;;;;;;;;;;
READ_LEFT_TO_RIGHT;leftToRight;LeftToRight;macro keyword;directive for substitution;;;;;;"[ENTRY][""Name""][READ_LEFT_TO_RIGHT]";Specifies that the table is to be read from left to right for this entry.;;;;;;;;;;;;;;;;;;;;;;;
READ_TOP_DOWN;topDown;TopDown;macro keyword;directive for substitution;;;;;;"[ENTRY][""Name""][READ_TOP_DOWN]";It specifies that the table is to be read from top down for this entry.;;;;;;;;;;;;;;;;;;;;;;;
REGEX_REPLACE;regexReplace;RegexReplace;macro keyword;conversion;;2;Regex;;Regular expression to match, Format expression;"[ENTRY][""File""][REGEX_REPLACE]['(.*)\.txt', '$1\.log']";Before the entry is substituted the replace operation is performed on the text from the table entry.;;;IGNORE_CASE;;;;;;;;;;;;;;;;;;;;
REPLACE;replace;Replace;macro keyword;conversion;;2;CStyle;;Text to match, Text replacing the matched text;"[ENTRY][""File""][REPLACE]["".tpl."", "".gen.""]";Before the entry is substituted the replace operation is performed on the text from the table entry.;;;IGNORE_CASE;;;;;;;;;;;;;;;;;;;;
STARTS_WITH;startsWith;StartsWith;macro keyword;constraint;;1;CStyle;;Text to match;"[ENTRY][""File""][STARTS_WITH][""Readme""]";The substitution succeeds if the entry starts with the specified text.;;;FLUSH;FOR_ALL;IGNORE_CASE;;;;;;;;;;;;;;;;;;
TO_CSTRING;toCString;ToCString;macro keyword;conversion;;;;;;"[ENTRY][""Parameter Value""][TO_CSTRING]";Before the entry is substituted all special characters are converted to the correct escape sequences for c\c++ string literals, e.g. the new line character is converted to \n.;;;;;;;;;;;;;;;;;;;;;;;
TO_CSV;toCsv;ToCsv;macro keyword;conversion;;1;Combi1CStyle1CStyleOptional;;The delimiters used and the  char used for putting text items in quotes.;"[ENTRY][""State 1""][TO_CSV][""\t"",""\""""]";Before the entry is substituted the text content is put in quotes if it contains any of the delimiter characters or a new line character. The second parameter is optional. The default parameter for putting text items in quotes is the double quote character. If multiple quote chars are provided only the first character is used, but the text item is put in quotes if any one of the quote characters is found.;;;;;;;;;;;;;;;;;;;;;;;
TO_LOWER;toLower;ToLower;macro keyword;conversion;;;;;;"[ENTRY][""State 1""][TO_LOWER]";Before the entry is substituted all characters are converted to lower case.;;;;;;;;;;;;;;;;;;;;;;;
TO_UPPER;toUpper;ToUpper;macro keyword;conversion;;;;;;"[ENTRY][""State 1""][TO_UPPER]";Before the entry is substituted all characters are converted to upper case.;;;;;;;;;;;;;;;;;;;;;;;
