Operation;Condition Group;Scope;Exception Name;Condition;Prefix;Error Number;Description;Description;Source;Source;Source;Source;Source
generate;;TemplatePreprocessorExceptions;ExBadlyPlacedComment;;%1%(%2%);1605;COMMENT is expected at the beginning of a line. Leading whitespace is allowed.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
unloadTable;;MacroProcessorExceptions;ExTableNotFound;;;1701;A table entry with the provided label '%1%' does not exist.;;label;;;;
generate;;ParserExceptions;ExMissingBlockBegin;;%1%(%2%);1801;Missing begin block marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingMacroBegin;;%1%(%2%);1802;Missing begin macro marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingBlockEnd;;%1%(%2%);1803;Missing block end marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingMacroEnd;;%1%(%2%);1804;Missing macro end marker.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExUnexpectedKeyword;;%1%(%2%);1810;Syntax error. Unexpected keyword found.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExUnexpectedEndOfMacro;;%1%(%2%);1805;Unexpected end of macro.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExDirectiveAlreadyApplied;;%1%(%2%);1820;Directive has been applied already.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExConstraintExpectedAfterNot;;%1%(%2%);1821;Constraint following not expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExSubstitutionExpectedAfterIf;;%1%(%2%);1822;Substitution following if expected.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExCannotApplyDirectiveToSubstitution;;%1%(%2%);1823;Directive cannot be applied to this substitution.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExCannotApplyDirectiveToConstraint;;%1%(%2%);1824;Directive cannot be applied to this constraint.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExCannotApplyDirectiveToConversion;;%1%(%2%);1825;Directive cannot be applied to this conversion.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExCannotApplyConstraintToSubstitution;;%1%(%2%);1826;Constraint cannot be applied to this substitution.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExCannotApplyConversionToSubstitution;;%1%(%2%);1827;Conversion cannot be applied to this substitution.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExSubstitutionParsingBadOrder;;%1%(%2%);1828;Extensions fo a substitution are expected in the order directives, constraints, conversions.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExSubstitutionRequiresIf;;%1%(%2%);1829;Substitution requires if.; The line number shown corresponds to the last read line. This may not be the line causing the error for multi line macros.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMacroTooLarge;;%1%(%2%);1830;The macro exceeds the maximum allowed size of %3% kb. This error can be caused by a too large text line or by a missing macro end marker. The text compiler is not designed to handle very large text lines efficiently.;;addPath( getCurrentFileName());getCurrentLineNumber();(m_generator.getMaxMacroTextSizeBytes() / 1024);;
generate;;ParserExceptions;ExPartBlocksCannotBeNested;;%1%(%2%);1840;Part blocks cannot be nested.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingPartBegin;;%1%(%2%);1841;Missing begin part marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingPartEnd;;%1%(%2%);1842;Missing part end marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExPartAlreadyDefined;;%1%(%2%);1843;Part already defined. Cannot add a second part with the same label.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExPartNotDefined;;%1%(%2%);1844;Part not defined. Cannot expand part.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExPossibleInfiniteLoop;;%1%(%2%);1845;Recursion exceeded the maximum of allowed levels while expanding part.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;TemplateProvidedTableLoaderExceptions;ExUnexpectedTableProperty;;%1%(%2%);1860;Unexpected table property found for template-provided table.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingTableBegin;;%1%(%2%);1861;Missing begin table marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExMissingTableEnd;;%1%(%2%);1862;Missing table end marker.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;MacroProcessorExceptions;ExCannotChangeTableList;;%1%(%2%);1863;Changing the table list permanently is disabled. Only temporary tables can be added or removed.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;TemplateProvidedTableLoaderExceptions;ExTableLoadFileNameMustNotBeEmpty;;%1%(%2%);1864;Table filename must not be empty.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ParserExceptions;ExUnexpectedPartPadding;;%1%(%2%);1865;The part padding directives can only be used inside a part block.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;ToSizeConversionExceptions;ExUnexpectedToSizeProperty;;%1%(%2%);1880;Unexpected property found for to size conversion.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
;;;;;;;;;;;;;
generate;;CsvParser;ExBadDelimiter;;%1%(%2%);1001;Provided character cannot be used as delimiting character.; The line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;A;CsvParser;ExRequireDelimitingChar;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1002;New line or delimiter at the end of item in quotes is expected.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();;
;A;CsvParser;ExRequireDelimitingChar;;%1%(%2%);1002;New line or delimiter at the end of item in quotes is expected. CSV table source line %4% column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastLineWithFailure();
generate;B;CsvParser;ExUnexpectedQuote;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1003;Unexpected quote.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();;
;B;CsvParser;ExUnexpectedQuote;;%1%(%2%);1003;Unexpected quote. CSV table source line %4%  column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastLineWithFailure();
generate;;CsvParser;ExStreamBad;;%1%(%2%);1004;An error occured reading table.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;SourceFileExceptions<CsvFileLoadedViaTemplateT>;ExCannotOpenFile;;;1010;Cannot open table file: %1%;;addPath(getTableLoadFileNameWithFailure());;;;
generate;;SourceFileExceptions<CsvFileLoadedViaTemplateT>;ExCannotReadFile;;;1011;An error occured reading table file: %1%;;addPath(getTableLoadFileNameWithFailure());;;;
generate;C;VerticalTableBuilderExceptions;ExUnderflow;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1020;Table row %4% contains less items than first row.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();
;C;VerticalTableBuilderExceptions;ExUnderflow;;%1%(%2%);1020;Table row %4% contains less items than first row. CSV table source line %5% column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();m_generator.getLastLineWithFailure()
generate;D;VerticalTableBuilderExceptions;ExOverflow;!getTableLoadFileNameWithFailure().empty();%1%(%2%,%3%);1021;Table row %4% contains more items than first row.;;addPath( getTableLoadFileNameWithFailure());m_generator.getLastLineWithFailure();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();
;D;VerticalTableBuilderExceptions;ExOverflow;;%1%(%2%);1021;Table row %4% contains more items than first row. CSV table source line %5% column %3%.; The source file line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();m_generator.getLastColumnWithFailure();m_generator.getLastRowNumberWithFailure();m_generator.getLastLineWithFailure()
generate;;CsvParser;ExBadCommentChars;;%1%(%2%);1030;The CSV comment char list contains characters that cannot be used for commenting lines, e.g. quote or the delimiter characters.; The line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;CsvParser;ExBadQuoteChars;;%1%(%2%);1031;The CSV quote char list contains characters that cannot be used for putting text items in quotes, e.g. comment or the delimiter characters.; The line number shown corresponds to the last read line. This may not be the line causing the error.;addPath( getCurrentFileName());getCurrentLineNumber();;;
generate;;MacroProcessorExceptions;ExTableLabelAlreadyDefined;;%1%(%2%);1053;Table label already defined. Cannot add a second table with the same label.;;addPath( getCurrentFileName());getCurrentLineNumber();;;
;;;;;;;;;;;;;
generate;;MacroExpanderExceptions;ExErrorTagExpanded<StringT>;;%1%(%2%);1900;Error tag triggered: %3%;;addPath( getCurrentFileName());getCurrentLineNumber();e.getMessage();;
